Name,Author,User Rating,Reviews,Price,Year,Fiction,Non Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,0,1
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,1,0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,0,1
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,0,1
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,0,1
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,0,1
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,0,1
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,0,1
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,0,1
Becoming,Michelle Obama,4.8,61133,11,2018,0,1
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,0,1
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,0,1
Born to Run,Bruce Springsteen,4.7,3729,18,2016,0,1
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,1,0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,0,1
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,1,0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,1,0
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,0,1
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,0,1
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,0,1
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,1,0
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,0,1
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,0,1
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,1,0
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,0,1
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,0,1
Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,1,0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,0,1
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,0,1
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,1,0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,1,0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,1,0
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,1,0
Decision Points,George W. Bush,4.6,2137,17,2010,0,1
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,0,1
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,0,1
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,1,0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,1,0
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,1,0
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,0,1
Divergent,Veronica Roth,4.6,27098,15,2013,1,0
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,1,0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,0,1
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,1,0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,1,0
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,1,0
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,1,0
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,1,0
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,1,0
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,1,0
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,1,0
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,1,0
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,0,1
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,0,1
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,0,1
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,0,1
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,0,1
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,1,0
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,1,0
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,0,1
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,0,1
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,1,0
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,1,0
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,0,1
Fifty Shades Darker,E L James,4.4,23631,7,2012,1,0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,1,0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,1,0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,1,0
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,0,1
First 100 Words,Roger Priddy,4.7,17323,4,2014,0,1
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,0,1
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,1,0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,0,1
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,1,0
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,0,1
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,0,1
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,1,0
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,0,1
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,0,1
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,0,1
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,1,0
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,1,0
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,0,1
Gone Girl,Gillian Flynn,4.0,57271,10,2012,1,0
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,0,1
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,0,1
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,1,0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,1,0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,0,1
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,1,0
Guts,Raina Telgemeier,4.8,5476,7,2019,0,1
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,0,1
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,0,1
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,1,0
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,1,0
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,1,0
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,1,0
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,1,0
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,0,1
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,1,0
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,0,1
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,0,1
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,0,1
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,0,1
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,0,1
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,0,1
Humans of New York,Brandon Stanton,4.8,3490,15,2013,0,1
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,0,1
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,0,1
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,0,1
"I, Alex Cross",James Patterson,4.6,1320,7,2009,1,0
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,1,0
If I Stay,Gayle Forman,4.3,7153,9,2014,1,0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,0,1
Inferno,Dan Brown,4.1,29651,14,2013,1,0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,1,0
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,0,1
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,0,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,0,1
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,1,0
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,1,0
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,0,1
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,0,1
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,0,1
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,0,1
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,0,1
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,0,1
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,0,1
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,0,1
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,0,1
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,1,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,0,1
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,0,1
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,0,1
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,0,1
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,0,1
Life,Keith Richards,4.5,2752,18,2010,0,1
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,1,0
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,1,0
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,1,0
Looking for Alaska,John Green,4.5,8491,7,2014,1,0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,0,1
Love You Forever,Robert Munsch,4.8,18613,5,2014,1,0
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,0,1
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,0,1
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,0,1
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,0,1
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,0,1
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,0,1
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,0,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,1,0
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,0,1
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,0,1
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,1,0
Night (Night),Elie Wiesel,4.7,5178,9,2016,0,1
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,0,1
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,0,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,1,0
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,1,0
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,1,0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,0,1
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,0,1
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,1,0
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,1,0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,0,1
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,0,1
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,1,0
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,1,0
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,1,0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,0,1
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,0,1
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,1,0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,0,1
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2010,0,1
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,1,0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,1,0
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,1,0
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,0,1
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,1,0
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2018,0,1
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,0,1
Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,0,1
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,0,1
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,0,1
Sookie Stackhouse,Charlaine Harris,4.7,973,25,2009,1,0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,0,1
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,0,1
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,1,0
StrengthsFinder 2.0,Gallup,4.0,5069,17,2009,0,1
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,0,1
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,0,1
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,1,0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,0,1
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,0,1
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,0,1
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2010,0,1
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,0,1
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,0,1
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2009,0,1
The Alchemist,Paulo Coelho,4.7,35799,39,2014,1,0
The Amateur,Edward Klein,4.6,2580,9,2012,0,1
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,1,0
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,0,1
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,1,0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,0,1
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,0,1
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,2009,0,1
The Book Thief,Markus Zusak,4.6,23148,6,2013,1,0
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,1,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,0,1
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,1,0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,0,1
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,0,1
The Confession: A Novel,John Grisham,4.3,3523,13,2010,1,0
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,0,1
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,0,1
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,1,0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,0,1
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11,2009,1,0
The Fault in Our Stars,John Green,4.7,50482,13,2012,1,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2009,0,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,2009,0,1
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,0,1
The Getaway,Jeff Kinney,4.8,5836,0,2017,1,0
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,1,0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,1,0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,1,0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,1,0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,1,0
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,1,0
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,1,0
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,1,0
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,1,0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,2009,1,0
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,1,0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,1,0
The Hate U Give,Angie Thomas,4.8,9947,11,2018,1,0
The Help,Kathryn Stockett,4.8,13871,6,2009,1,0
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,1,0
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,1,0
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,1,0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,1,0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,0,1
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,0,1
The Last Lecture,Randy Pausch,4.7,4028,9,2009,0,1
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,1,0
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,1,0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,0,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2015,0,1
The Litigators,John Grisham,4.4,6222,18,2011,1,0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,1,0
The Lost Symbol,Dan Brown,4.2,8747,19,2009,1,0
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,0,1
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,0,1
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,1,0
The Martian,Andy Weir,4.7,39459,9,2015,1,0
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,1,0
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,1,0
The Mueller Report,The Washington Post,4.6,2744,12,2019,0,1
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2015,1,0
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,0,1
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,0,1
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,1,0
